,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
34,Montgomery,2020,78,0.5769230769230769,0.6794871794871795,0.001467997651203758,0.8497542241986193,0.08888454051964094
35,Montgomery,2021,157,0.4840764331210191,0.8598726114649682,0.004555424329340307,0.6215991144317982,0.0633791224428681
36,Pike,2018,25,0.52,0.64,0.00020828993959591752,1.0484708294182967,0.19257896984710005
37,Pike,2019,23,0.4782608695652174,0.7391304347826086,0.0,0.8500543264713419,0.13823268130178526
38,Pike,2020,33,0.5151515151515151,0.696969696969697,0.00398406374501992,0.7505987870504827,0.10553859776407278
39,Pike,2021,23,0.6086956521739131,0.6521739130434783,0.0026019080659150044,0.5669786180490305,0.07860545630306653
40,Armstrong,2018,18,0.5555555555555556,0.5555555555555556,0.0011750881316098707,1.7494523933005888,0.2062169376735105
41,Armstrong,2019,25,0.6,0.84,0.0005996402158704777,1.5440611367033772,0.15158500869459104
42,Armstrong,2020,40,0.725,0.85,0.0014097744360902255,1.1661682784709724,0.12487172141965892
43,Armstrong,2021,37,0.5135135135135135,0.5945945945945946,0.0026595744680851063,0.8205728575154825,0.08930027599363922
44,Carbon,2018,56,0.7142857142857143,0.7857142857142857,0.001152516327314637,1.5878723995737385,0.2451345966733077
45,Carbon,2019,47,0.7446808510638298,0.7872340425531915,0.0012484394506866417,1.3276537089375897,0.17803996972926223
46,Carbon,2020,48,0.6666666666666666,0.75,0.0038977912516240795,1.2672296097237024,0.15403189384206706
47,Carbon,2021,51,0.7450980392156863,0.803921568627451,0.007633587786259542,0.8781233689323387,0.10563970681581182
48,Centre,2018,25,0.68,0.6,0.0005549389567147614,0.7806999342487925,0.08271362820221025
49,Centre,2019,12,0.5,0.5833333333333334,0.0006242197253433209,0.6865729711959133,0.06531630124168628
50,Centre,2020,21,0.7619047619047619,0.7619047619047619,0.0037359900373599006,0.6245513744531269,0.059047976070549776
51,Centre,2021,22,0.8181818181818182,0.6818181818181818,0.0029910269192422734,0.45780272559555424,0.04074592583442708
52,Bradford,2018,13,0.46153846153846156,0.7692307692307693,0.0,1.4899889939466706,0.167140593993363
53,Bradford,2019,6,0.5,0.6666666666666666,0.0,1.3372753347674555,0.13928744142611768
54,Bradford,2020,9,0.3333333333333333,0.5555555555555556,0.004975124378109453,1.2924074907865994,0.12941283163356512
55,Bradford,2021,4,0.75,0.75,0.0018484288354898336,0.9327243763236446,0.09119427352235396
56,Dauphin,2018,289,0.3217993079584775,0.7647058823529411,0.0014265335235378032,1.0857292048561282,0.13617386112478658
57,Dauphin,2019,252,0.5714285714285714,0.7817460317460317,0.0014871468026343743,0.9552319998882687,0.10537553988987469
58,Dauphin,2020,141,0.7446808510638298,0.8014184397163121,0.009465111160026414,0.8720502023386789,0.08736281511506594
59,Dauphin,2021,113,0.672566371681416,0.7964601769911505,0.0032749537234799944,0.6310521851983758,0.05875207430779222
60,Lehigh,2018,121,0.8925619834710744,0.8925619834710744,0.00027770063871146905,1.2649336683068264,0.12537984872796398
61,Lehigh,2019,60,0.85,0.8333333333333334,0.0005125576627370579,1.1308410468900594,0.10164420902559558
62,Lehigh,2020,44,0.7727272727272727,0.7954545454545454,0.0005260389268805891,0.9773596008084217,0.08635987833889101
63,Lehigh,2021,47,0.7659574468085106,0.8085106382978723,0.00703351261894911,0.6622692074301108,0.06018385612945426
64,Blair,2018,16,0.875,0.8125,0.0,2.161338196739998,0.23911449088925438
65,Blair,2019,19,0.8421052631578947,0.7368421052631579,0.0011098779134295228,1.8607948901662568,0.1842373516145316
66,Blair,2020,28,0.8928571428571429,0.7857142857142857,0.0012474012474012475,1.5823583722785821,0.15460909324762664
67,Blair,2021,31,0.7096774193548387,0.7419354838709677,0.0009668063164679343,1.1011122223624432,0.10588939047712136
68,Allegheny,2018,673,0.6210995542347697,0.7756315007429421,0.005453962143086301,1.4371549555485545,0.1335513818410367
69,Allegheny,2019,521,0.7044145873320538,0.8061420345489443,0.0012483095807760325,1.2842996998188037,0.1088408799770986
70,Allegheny,2020,732,0.744535519125683,0.8046448087431693,0.00046490004649000463,1.1275313415076869,0.09236372767543488
71,Allegheny,2021,468,0.7585470085470085,0.8034188034188035,0.0011985617259288853,0.8122218228307231,0.06508742207902986
72,Erie,2018,122,0.7295081967213115,0.8442622950819673,0.000999000999000999,1.6495991154624257,0.13836083669280408
73,Erie,2019,130,0.8153846153846154,0.8692307692307693,0.0036706869428421605,1.617301569721939,0.11263674153487205
