County,Year,% Naloxone Admin,% OD Survival,Opioid Overdoses,3+ Prescribers and 3+ Dispensers,Average Daily MME > 50,Overlapping Opioid/Benzodiazepine Prescriptions,Total Drug Dispensation,Total Prescriptions,Incidents - Fentanyl,Incidents - Heroin,Incidents - Opium,Arrests - Fentanyl,Arrests - Heroin,Arrests - Opium,Drug Quantity - Fentanyl,Drug Quantity - Heroin,Drug Quantity - Opium,%Incidents Fentanyl,%Arrests Fentanyl,%Quantity Fentanyl,Drug Take-Back Sites,Drug Treatment Locations,County Population,County Percent Change Since 2010
Clinton,2019,0.2,0.6,5,,1818.0,2126.0,23520.0,27062.0,1.0,4.0,1.0,1.0,1.0,1.0,0.000813,0.0093,5e-05,16.666666666666664,33.33333333333333,7.999606415428517,4,2,37450,-0.046
Clinton,2020,0.4,0.8,5,,1600.0,1942.0,21711.0,30419.0,1.0,1.0,0.0,1.0,0.0,0.0,0.011,0.001,0.0,50.0,100.0,91.66666666666666,4,2,37450,-0.046
Clinton,2021,0.8,0.6,5,,1457.0,1812.0,20886.0,30248.0,5.0,2.0,0.0,8.0,2.0,0.0,0.02504,0.0006000000000000001,0.0,71.42857142857143,80.0,97.65990639625585,4,2,37450,-0.046
Clinton,2022,0.5,0.5,2,,670.0,591.0,10015.0,13831.0,3.0,1.0,0.0,3.0,1.0,0.0,0.5888,0.006,0.0,75.0,75.0,98.99125756556826,4,2,37450,-0.046
Venango,2019,1.0,1.0,2,29.0,2429.0,2105.0,28115.0,40357.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0005,0.0025,0.0,25.0,33.33333333333333,16.666666666666664,4,6,50454,-0.082
Venango,2020,0.7,0.6,10,32.0,2299.0,1722.0,27993.0,35983.0,1.0,4.0,0.0,2.0,4.0,0.0,0.106,0.00365,0.0,20.0,33.33333333333333,96.67122663018695,4,6,50454,-0.082
Venango,2021,0.4,0.8,5,6.0,2103.0,1502.0,27160.0,33515.0,2.0,3.0,0.0,2.0,2.0,0.0,0.002,0.00218,0.0,40.0,50.0,47.84688995215311,4,6,50454,-0.082
Venango,2022,0.42857142857142855,0.42857142857142855,7,,1041.0,675.0,9938.0,15328.0,4.0,4.0,0.0,4.0,5.0,0.0,0.0084,0.0068000000000000005,0.0,50.0,44.44444444444444,55.263157894736835,4,6,50454,-0.082
Forest,2019,1.0,1.0,1,0.0,267.0,308.0,2610.0,4202.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.000675,0.0,0.0,,0.0,2,3,6973,-0.096
Potter,2020,1.0,1.0,2,,609.0,515.0,7350.0,10068.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,,0.0,5,1,16396,-0.061
Potter,2021,0.3333333333333333,0.3333333333333333,3,6.0,582.0,513.0,7141.0,10048.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,5,1,16396,-0.061
Potter,2022,1.0,1.0,1,,241.0,211.0,3687.0,4960.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,5,1,16396,-0.061
Sullivan,2021,0.0,0.0,1,0.0,322.0,301.0,1395.0,3371.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.00151,0.0,0.0,0.0,0.0,2,1,5840,-0.091
