,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
50,Centre,2020,21,0.7619047619047619,0.7619047619047619,27.27272727272727,0.8680406140151228,0.059047976070549776
51,Centre,2021,22,0.8181818181818182,0.6818181818181818,23.076923076923077,0.6356161501485093,0.04074592583442708
52,Bradford,2018,13,0.46153846153846156,0.7692307692307693,0.0,2.6747316023813097,0.167140593993363
53,Bradford,2019,6,0.5,0.6666666666666666,0.0,2.385993463071356,0.13928744142611768
54,Bradford,2020,9,0.3333333333333333,0.5555555555555556,33.33333333333333,2.302998982773859,0.12941283163356512
55,Bradford,2021,4,0.75,0.75,15.625,1.6571537300473593,0.09119427352235396
56,Dauphin,2018,289,0.3217993079584775,0.7647058823529411,12.5,1.3132620346995996,0.13617386112478658
57,Dauphin,2019,252,0.5714285714285714,0.7817460317460317,12.962962962962962,1.1543192935778857,0.10537553988987469
58,Dauphin,2020,141,0.7446808510638298,0.8014184397163121,48.86363636363637,1.0531889553458262,0.08736281511506594
59,Dauphin,2021,113,0.672566371681416,0.7964601769911505,24.731182795698924,0.7618147487084891,0.05875207430779222
60,Lehigh,2018,121,0.8925619834710744,0.8925619834710744,2.7027027027027026,1.4662939686082492,0.12537984872796398
61,Lehigh,2019,60,0.85,0.8333333333333334,4.878048780487805,1.3083318960799024,0.10164420902559558
62,Lehigh,2020,44,0.7727272727272727,0.7954545454545454,5.0,1.1306774135845812,0.08635987833889101
63,Lehigh,2021,47,0.7659574468085106,0.8085106382978723,41.46341463414634,0.7662219506377668,0.06018385612945426
64,Blair,2018,16,0.875,0.8125,0.0,3.038667909657879,0.23911449088925438
65,Blair,2019,19,0.8421052631578947,0.7368421052631579,10.0,2.599932259692889,0.1842373516145316
66,Blair,2020,28,0.8928571428571429,0.7857142857142857,10.344827586206897,2.2065653547410076,0.15460909324762664
67,Blair,2021,31,0.7096774193548387,0.7419354838709677,8.823529411764707,1.5326844804727981,0.10588939047712136
68,Allegheny,2018,673,0.6210995542347697,0.7756315007429421,35.41666666666667,1.5020902974464607,0.1335513818410367
69,Allegheny,2019,521,0.7044145873320538,0.8061420345489443,11.009174311926607,1.3417509103790406,0.1088408799770986
70,Allegheny,2020,732,0.744535519125683,0.8046448087431693,4.444444444444445,1.1778780771771131,0.09236372767543488
71,Allegheny,2021,468,0.7585470085470085,0.8034188034188035,10.714285714285714,0.8483378485327424,0.06508742207902986
72,Erie,2018,122,0.7295081967213115,0.8442622950819673,9.090909090909092,1.987313937004386,0.13836083669280408
73,Erie,2019,130,0.8153846153846154,0.8692307692307693,26.923076923076923,1.9426884995348424,0.11263674153487205
74,Erie,2020,180,0.7833333333333333,0.8055555555555556,24.074074074074073,1.7581640676914898,0.09846736815719369
75,Erie,2021,351,0.7777777777777778,0.8547008547008547,53.84615384615385,1.2950983876690443,0.06870412977756613
76,York,2018,436,0.8371559633027523,0.8256880733944955,12.5,1.1684388241119277,0.12531826885579203
77,York,2019,413,0.8256658595641646,0.8329297820823245,30.23255813953488,1.0449587457661282,0.10008811711557758
78,York,2020,530,0.8132075471698114,0.8150943396226416,22.22222222222222,0.9568149452937749,0.08987986943628706
79,York,2021,193,0.844559585492228,0.844559585492228,39.58333333333333,0.6917326291312292,0.06203651876648745
80,Lebanon,2018,67,0.5970149253731343,0.8059701492537313,0.0,1.734739035439804,0.14217762482810611
81,Lebanon,2019,76,0.7631578947368421,0.881578947368421,16.666666666666664,1.5513417145409998,0.1125612710024641
82,Lebanon,2020,118,0.788135593220339,0.864406779661017,44.73684210526316,1.3756867727231479,0.09556879535108231
83,Lebanon,2021,97,0.711340206185567,0.8556701030927835,30.76923076923077,0.9937040266797433,0.06768079768601884
84,Monroe,2018,55,0.4727272727272727,0.6363636363636364,0.9523809523809524,1.6575213126830517,0.1594142947952497
85,Monroe,2021,96,0.5833333333333334,0.7083333333333334,5.46448087431694,0.9258172136266909,0.06923725140114183
