,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
127,Warren County,62,42,123,2017,2017,19300,18300,1000,5.3,41.81675237,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.81675237]}",51,5,1741,60,234
128,York County,67,42,133,2017,2017,234400,224100,10200,4.4,39.92192531,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.92192531]}",12,24,470,136,43
129,Beaver County,04,42,007,2016,2017,85300,80100,5300,6.2,40.68349245,-80.35107356,"{'type': 'Point', 'coordinates': [-80.35107356, 40.68349245]}",42,2,379,23,2
130,Carbon County,13,42,025,2017,2017,31500,29700,1800,5.6,40.91936701,-75.71107039,"{'type': 'Point', 'coordinates': [-75.71107039, 40.91936701]}",4,30,688,108,199
131,Indiana County,32,42,063,2018,2018,38800,36900,1900,4.9,40.65295497,-79.09333493,"{'type': 'Point', 'coordinates': [-79.09333493, 40.65295497]}",19,15,415,27,269
132,Lancaster County,36,42,071,2016,2017,279900,268300,11600,4.1,40.04590796,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.04590796]}",23,25,222,144,74
133,Forest County,27,42,053,2018,2018,1800,1700,100,6.2,41.51357876,-79.23780995,"{'type': 'Point', 'coordinates': [-79.23780995, 41.51357876]}",32,5,207,60,186
134,Monroe County,45,42,089,2017,2017,82000,77100,4800,5.9,41.06091787,-75.34083603,"{'type': 'Point', 'coordinates': [-75.34083603, 41.06091787]}",56,38,912,121,362
135,Snyder County,55,42,109,2017,2017,20500,19600,900,4.4,40.77113737,-77.07255968,"{'type': 'Point', 'coordinates': [-77.07255968, 40.77113737]}",65,22,2255,72,254
136,Susquehanna County,58,42,115,2018,2018,20500,19700,800,4,41.8205686,-75.80250303,"{'type': 'Point', 'coordinates': [-75.80250303, 41.8205686]}",44,21,2466,89,321
137,Butler County,10,42,019,2018,2018,98600,94700,3800,3.9,40.91083185,-79.91711779,"{'type': 'Point', 'coordinates': [-79.91711779, 40.91083185]}",1,5,738,12,100
138,Northumberland County,49,42,097,2016,2017,44000,41200,2700,6.2,40.85150926,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.85150926]}",60,22,2094,73,375
139,Washington County,63,42,125,2016,2017,107300,100700,6600,6.1,40.19109663,-80.25180083,"{'type': 'Point', 'coordinates': [-80.25180083, 40.19109663]}",52,12,1132,4,351
140,Columbia County,19,42,037,2016,2017,33900,32000,1900,5.5,41.04912086,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.04912086]}",10,22,1073,90,24
141,Chester County,15,42,029,2018,2018,281600,272600,8900,3.2,39.97487056,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.97487056]}",6,32,2415,147,69
142,Franklin County,28,42,055,2017,2017,76700,73200,3400,4.5,39.92786197,-77.72398845,"{'type': 'Point', 'coordinates': [-77.72398845, 39.92786197]}",33,19,380,33,19
143,Perry County,50,42,099,2016,2017,24300,23200,1100,4.6,40.40415317,-77.25907385,"{'type': 'Point', 'coordinates': [-77.25907385, 40.40415317]}",61,23,1648,37,485
144,York County,67,42,133,2016,2017,235000,224100,10900,4.6,39.92192531,-76.72576052,"{'type': 'Point', 'coordinates': [-76.72576052, 39.92192531]}",12,24,470,136,43
