,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
195,0,6,04000,0,0,0,0,0
196,0,6,04100,0,0,0,0,0
197,0,6,04200,0,0,0,0,0
198,0,6,04300,0,0,0,0,0
199,0,6,04401,0,0,0,0,0
200,0,6,04402,0,0,0,0,0
201,0,6,04403,0,0,0,0,0
202,0,6,04404,0,0,0,0,0
203,0,6,04405,0,0,0,0,0
204,0,6,04406,0,0,0,0,0
205,0,6,04407,0,0,0,0,0
206,0,6,04500,0,0,0,0,0
207,0,6,04600,0,0,0,0,0
208,0,6,04700,0,0,0,0,0
209,0,6,04800,0,0,0,0,0
210,0,6,04900,0,0,0,0,0
211,0,6,05000,0,0,0,0,0
212,0,6,05100,0,0,0,0,0
213,0,6,05200,0,0,0,0,0
214,0,6,05300,0,0,0,0,0
215,0,6,05401,0,0,0,0,0
216,0,6,05402,0,0,0,0,0
217,0,6,05403,0,0,0,0,0
218,0,6,05404,0,0,0,0,0
219,0,6,05405,0,0,0,0,0
220,0,6,05406,0,0,0,0,0
221,0,6,05407,0,0,0,0,0
222,0,6,05408,0,0,0,0,0
223,0,6,05409,0,0,0,0,0
224,0,6,05410,0,0,0,0,0
225,0,6,05411,0,0,0,0,0
226,0,6,05412,0,0,0,0,0
227,0,6,05413,0,0,0,0,0
228,0,6,05414,0,0,0,0,0
229,0,6,05415,0,0,0,0,0
230,0,6,05416,0,0,0,0,0
231,0,6,05417,0,0,0,0,0
232,0,6,05418,0,0,0,0,0
233,0,6,05419,0,0,0,0,0
234,0,6,05420,0,0,0,0,0
235,0,6,05421,0,0,0,0,0
236,0,6,05422,0,0,0,0,0
237,0,6,05423,0,0,0,0,0
238,0,6,05424,0,0,0,0,0
239,138609,6,05500,69008,69601,666,412,753
240,0,6,05600,0,0,0,0,0
241,0,6,05701,0,0,0,0,0
242,0,6,05702,0,0,0,0,0
243,0,6,05703,0,0,0,0,0
244,0,6,05800,0,0,0,0,0
245,0,6,05900,0,0,0,0,0
246,0,6,06000,0,0,0,0,0
247,144807,6,06101,70647,74160,1116,698,782
248,130070,6,06102,63493,66577,313,305,820
249,116707,6,06103,57458,59249,750,419,470
250,0,6,06104,0,0,0,0,0
251,0,6,06105,0,0,0,0,0
252,0,6,06106,0,0,0,0,0
253,0,6,06107,0,0,0,0,0
254,0,6,06108,0,0,0,0,0
255,0,6,06109,0,0,0,0,0
256,0,6,06110,0,0,0,0,0
257,0,6,06111,0,0,0,0,0
258,0,6,06112,0,0,0,0,0
259,0,6,06113,0,0,0,0,0
260,0,6,06114,0,0,0,0,0
261,0,6,06115,0,0,0,0,0
262,0,6,06116,0,0,0,0,0
263,0,6,06117,0,0,0,0,0
264,0,6,06118,0,0,0,0,0
265,0,6,06119,0,0,0,0,0
266,0,6,06120,0,0,0,0,0
267,0,6,06121,0,0,0,0,0
268,0,6,06122,0,0,0,0,0
269,0,6,06123,0,0,0,0,0
270,0,6,06124,0,0,0,0,0
271,0,6,06125,0,0,0,0,0
272,0,6,06126,0,0,0,0,0
273,0,6,06200,0,0,0,0,0
274,0,6,06300,0,0,0,0,0
275,0,6,06400,0,0,0,0,0
276,0,6,06500,0,0,0,0,0
277,0,6,06601,0,0,0,0,0
278,0,6,06602,0,0,0,0,0
279,109745,6,06701,53176,56569,401,293,616
280,122147,6,06702,60020,62127,526,279,686
281,0,6,06801,0,0,0,0,0
282,0,6,06802,0,0,0,0,0
283,0,6,06900,0,0,0,0,0
284,0,6,07000,0,0,0,0,0
285,0,6,07100,0,0,0,0,0
286,0,6,07200,0,0,0,0,0
287,0,6,07300,0,0,0,0,0
288,0,6,07400,0,0,0,0,0
289,147259,6,07501,71114,76145,708,353,1016
290,112212,6,07502,54669,57543,136,15,408
291,0,6,07601,0,0,0,0,0
292,0,6,07602,0,0,0,0,0
293,0,6,07603,0,0,0,0,0
294,0,6,07604,0,0,0,0,0
295,0,6,07605,0,0,0,0,0
296,0,6,07606,0,0,0,0,0
297,0,6,07607,0,0,0,0,0
298,0,6,07700,0,0,0,0,0
299,0,6,07801,0,0,0,0,0
300,0,6,07802,0,0,0,0,0
301,0,6,07900,0,0,0,0,0
302,0,6,08001,0,0,0,0,0
303,0,6,08002,0,0,0,0,0
304,0,6,08003,0,0,0,0,0
305,0,6,08004,0,0,0,0,0
306,0,6,08005,0,0,0,0,0
307,145206,6,08101,70918,74288,1409,586,788
308,125149,6,08102,63133,62016,1205,611,956
309,108251,6,08103,54173,54078,426,221,767
310,129616,6,08104,64337,65279,541,284,387
311,136317,6,08105,67084,69233,450,168,853
312,121155,6,08106,59321,61834,764,482,559
313,0,6,08107,0,0,0,0,0
314,0,6,08108,0,0,0,0,0
315,0,6,08109,0,0,0,0,0
316,0,6,08110,0,0,0,0,0
317,0,6,08111,0,0,0,0,0
318,0,6,08112,0,0,0,0,0
319,0,6,08113,0,0,0,0,0
320,0,6,08114,0,0,0,0,0
321,0,6,08115,0,0,0,0,0
322,0,6,08116,0,0,0,0,0
323,0,6,08200,0,0,0,0,0
324,0,8,00101,0,0,0,0,0
325,139563,8,00102,69190,70373,481,272,956
326,211144,8,00103,105673,105471,404,288,1394
327,104321,8,00200,53360,50961,259,270,887
328,209384,8,00300,105855,103529,1070,785,1001
329,120520,8,00400,63906,56614,384,333,511
330,0,8,00501,0,0,0,0,0
331,0,8,00502,0,0,0,0,0
332,110295,8,00600,60544,49751,581,573,367
333,159596,8,00700,78869,80727,1151,456,813
334,105426,8,00801,54298,51128,261,77,445
335,185233,8,00802,91386,93847,379,694,1346
336,127053,8,00803,64589,62464,233,172,645
337,166120,8,00804,83256,82864,409,154,948
338,127651,8,00805,64800,62851,471,558,658
339,156706,8,00806,78704,78002,862,1110,1117
340,178215,8,00807,90211,88004,972,1573,1128
341,119415,8,00808,59452,59963,683,350,905
342,123133,8,00809,61146,61987,739,555,443
343,126152,8,00810,63229,62923,463,488,898
344,121642,8,00811,61098,60544,270,102,1061
345,199574,8,00812,99484,100090,1319,1026,974
346,117061,8,00813,60453,56608,524,164,705
347,115822,8,00814,58360,57462,280,56,396
348,178296,8,00815,87808,90488,618,622,1723
349,135472,8,00816,67262,68210,1174,1492,628
350,123376,8,00817,59930,63446,416,62,787
351,126396,8,00818,63576,62820,621,459,529
352,150302,8,00819,74778,75524,698,411,975
353,113839,8,00820,56342,57497,219,448,957
354,130887,8,00821,65045,65842,454,145,973
355,124903,8,00822,62057,62846,262,162,730
356,0,8,00901,0,0,0,0,0
357,0,8,00902,0,0,0,0,0
358,0,8,00903,0,0,0,0,0
359,0,8,00904,0,0,0,0,0
360,0,8,00905,0,0,0,0,0
361,0,8,01000,0,0,0,0,0
362,173030,9,00100,85226,87804,488,396,1410
363,0,9,00200,0,0,0,0,0
364,157579,9,00300,80090,77489,400,536,1103
365,0,9,00400,0,0,0,0,0
366,181131,9,00500,89743,91388,583,405,1167
367,0,9,00600,0,0,0,0,0
368,162622,9,00700,79597,83025,600,261,822
369,0,9,00800,0,0,0,0,0
370,133154,9,00900,67122,66032,305,537,1039
371,0,9,01000,0,0,0,0,0
372,135356,9,01100,67889,67467,560,168,1371
373,0,9,01200,0,0,0,0,0
374,150700,9,01300,75290,75410,423,377,1409
375,0,9,01400,0,0,0,0,0
376,116712,9,01500,57925,58787,312,288,1042
377,0,9,01600,0,0,0,0,0
378,0,9,01700,0,0,0,0,0
379,0,9,01800,0,0,0,0,0
380,0,9,01900,0,0,0,0,0
381,0,9,02000,0,0,0,0,0
382,0,9,02100,0,0,0,0,0
383,0,9,02200,0,0,0,0,0
384,0,9,02300,0,0,0,0,0
385,0,9,02400,0,0,0,0,0
386,0,9,02500,0,0,0,0,0
387,107323,10,00101,50996,56327,533,174,1519
388,147334,10,00102,70464,76870,407,170,1151
389,148612,10,00103,72081,76531,800,507,1205
390,155268,10,00104,77051,78217,749,642,885
391,179019,10,00200,86485,92534,1028,512,1234
392,230123,10,00300,111050,119073,937,558,1211
393,110906,11,00101,49872,61034,287,37,619
394,134797,11,00102,65128,69669,924,430,1478
395,125787,11,00103,62066,63721,383,222,643
396,164658,11,00104,75407,89251,1471,404,1623
397,165826,11,00105,80046,85780,295,101,609
398,150888,12,00101,72957,77931,188,115,1235
399,117522,12,00102,56831,60691,392,287,408
400,0,12,00200,0,0,0,0,0
401,0,12,00300,0,0,0,0,0
402,0,12,00400,0,0,0,0,0
403,295738,12,00500,149349,146389,1157,797,1474
404,0,12,00600,0,0,0,0,0
405,0,12,00701,0,0,0,0,0
406,0,12,00702,0,0,0,0,0
407,0,12,00800,0,0,0,0,0
408,0,12,00900,0,0,0,0,0
409,0,12,01001,0,0,0,0,0
410,0,12,01002,0,0,0,0,0
411,165676,12,01101,80321,85355,672,523,1147
412,122126,12,01102,56889,65237,555,297,542
